avg_km_day,בנזין,דיזל,חשמל
208.72,1.9392623046193227e-05,0.00012143290831815421,0.0
211.039,1.4544467284644921e-05,0.00010408534998698933,0.0
213.358,1.357483613233526e-05,9.541157082140689e-05,0.0
215.677,1.2605204980025599e-05,7.8064012490242e-05,0.0
217.996,1.357483613233526e-05,6.939023332465955e-05,0.0
220.315,1.2605204980025599e-05,7.8064012490242e-05,0.0
222.635,1.4544467284644921e-05,6.0716454159077105e-05,0.0
224.954,1.357483613233526e-05,4.336889582791222e-05,0.0
227.273,1.357483613233526e-05,4.336889582791222e-05,0.0
229.592,1.2605204980025597e-05,3.469511666232978e-05,0.0
231.911,1.357483613233526e-05,1.7347558331164886e-05,0.0
234.23,9.696311523096614e-06,3.469511666232977e-05,0.0
236.549,7.757049218477291e-06,3.469511666232977e-05,0.0
238.868,7.757049218477291e-06,3.469511666232977e-05,0.0
241.187,6.787418066167628e-06,2.6021337496747333e-05,0.0
243.506,6.78741806616763e-06,4.3368895827912226e-05,0.0
245.826,6.787418066167628e-06,2.6021337496747333e-05,0.0
248.145,8.726680370786952e-06,2.6021337496747333e-05,0.0
252.783,7.757049218477291e-06,2.6021337496747333e-05,0.0
255.102,8.726680370786952e-06,2.6021337496747333e-05,0.0
257.421,7.757049218477293e-06,1.7347558331164886e-05,0.0
259.74,6.78741806616763e-06,1.7347558331164886e-05,0.0
264.378,3.8785246092386465e-06,1.7347558331164886e-05,0.0
266.698,3.8785246092386465e-06,1.7347558331164886e-05,0.0
269.017,2.908893456928984e-06,1.7347558331164886e-05,0.0
273.655,4.848155761548307e-06,8.673779165582443e-06,0.0
275.974,6.78741806616763e-06,8.673779165582443e-06,0.0
278.293,8.726680370786952e-06,8.673779165582443e-06,0.0
282.931,9.696311523096614e-06,1.7347558331164886e-05,0.0
285.25,9.696311523096614e-06,1.7347558331164886e-05,0.0
287.57,9.696311523096614e-06,1.7347558331164886e-05,0.0
289.889,8.726680370786952e-06,1.7347558331164886e-05,0.0
292.208,1.0665942675406275e-05,8.673779165582443e-06,0.0
299.165,9.696311523096614e-06,0.0,0.0
301.484,9.696311523096614e-06,8.673779165582443e-06,0.0
303.803,7.757049218477293e-06,1.7347558331164886e-05,0.0
306.122,5.817786913857969e-06,2.6021337496747333e-05,0.0
308.442,2.908893456928984e-06,2.6021337496747333e-05,0.0
310.761,3.878524609238646e-06,2.6021337496747333e-05,0.0
313.08,4.848155761548307e-06,1.734755833116489e-05,0.0
317.718,5.817786913857969e-06,8.673779165582443e-06,0.0
320.037,7.757049218477291e-06,0.0,0.0
322.356,7.757049218477291e-06,0.0,0.0
324.675,9.696311523096614e-06,0.0,0.0
326.994,1.1635573827715936e-05,8.673779165582443e-06,0.0
329.314,2.133188535081255e-05,4.336889582791222e-05,0.0
331.633,3.6845983787767136e-05,7.8064012490242e-05,0.0
333.952,5.8177869138579685e-05,9.541157082140688e-05,0.0
336.271,7.854012333708258e-05,0.00011275912915257177,0.0
338.59,9.01756971647985e-05,0.00011275912915257177,0.0
340.909,8.532754140325021e-05,9.541157082140688e-05,0.0
343.228,7.175270527091495e-05,6.0716454159077105e-05,0.0
345.547,5.0420819920102396e-05,4.336889582791222e-05,0.0
347.866,2.714967226467052e-05,2.6021337496747333e-05,0.0
350.186,1.2605204980025599e-05,1.734755833116489e-05,0.0
354.824,7.757049218477293e-06,0.0,0.0
357.143,4.848155761548307e-06,0.0,0.0
384.972,4.848155761548307e-06,0.0,0.0
412.801,4.848155761548307e-06,8.673779165582443e-06,0.0
426.716,4.848155761548307e-06,8.673779165582443e-06,0.00035149384885764496
435.993,4.848155761548307e-06,8.673779165582443e-06,0.00035149384885764496
442.95,4.848155761548307e-06,2.6021337496747333e-05,0.00035149384885764496
445.269,4.848155761548307e-06,2.6021337496747333e-05,0.00035149384885764496
449.907,6.78741806616763e-06,2.6021337496747333e-05,0.00035149384885764496
452.226,8.726680370786952e-06,2.6021337496747333e-05,0.0
454.545,8.726680370786952e-06,2.6021337496747333e-05,0.0
456.865,8.726680370786952e-06,8.673779165582441e-06,0.0
459.184,9.696311523096615e-06,1.0842223956978051e-05,0.0
461.503,8.080259602580513e-06,0.0,0.0
