סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
306 ,שדמות דבורה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,785 ,45 ,227 ,211 ,155 ,36 ,111
307 ,הזורעים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,1122 ,141 ,396 ,370 ,79 ,27 ,109
308 ,מחניים ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,870 ,45 ,234 ,265 ,106 ,66 ,154
309 ,נהורה ,61 ,אשקלון ,61 ,אשקלון ,50 ,לכיש ,1333 ,110 ,269 ,518 ,153 ,133 ,150
310 ,כפר גליקסון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,432 ,37 ,98 ,130 ,54 ,37 ,76
311 ,גן שורק ,44 ,רחובות ,44 ,רחובות ,27 ,גן רווה ,378 ,19 ,87 ,115 ,55 ,39 ,63
312 ,נווה ים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,301 ,28 ,61 ,98 ,32 ,27 ,55
313 ,אפק ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,825 ,65 ,210 ,261 ,117 ,40 ,132
315 ,נגבה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,1100 ,67 ,294 ,317 ,169 ,58 ,195
316 ,כפר נטר ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1079 ,73 ,287 ,322 ,188 ,62 ,147
317 ,בית אורן ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,578 ,75 ,104 ,209 ,55 ,54 ,81
318 ,עמיעוז ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,315 ,21 ,67 ,108 ,41 ,34 ,44
319 ,עמיר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,728 ,53 ,123 ,255 ,95 ,44 ,158
320 ,כפר ורבורג ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1217 ,76 ,292 ,398 ,187 ,92 ,172
322 ,בית הלל ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,869 ,61 ,165 ,383 ,98 ,42 ,120
324 ,שאר ישוב ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,577 ,37 ,111 ,215 ,84 ,40 ,90
325 ,מצובה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1324 ,57 ,361 ,403 ,239 ,92 ,172
326 ,בית יצחק-שער חפר ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,2373 ,171 ,516 ,670 ,339 ,187 ,490
327 ,שדות ים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,1145 ,122 ,247 ,381 ,145 ,66 ,184
328 ,עזוז ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,95 ,7 ,15 ,40 ,14 ,8 ,11
329 ,שדה נחמיה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1237 ,74 ,309 ,408 ,192 ,100 ,154
330 ,אלומות ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,520 ,56 ,124 ,175 ,56 ,34 ,75
331 ,ניר צבי ,43 ,רמלה ,43 ,רמלה ,40 ,שדות דן ,1291 ,77 ,310 ,380 ,196 ,90 ,238
334 ,קבוצת יבנה ,44 ,רחובות ,44 ,רחובות ,29 ,חבל יבנה ,839 ,71 ,184 ,286 ,79 ,59 ,160
335 ,רמת השופט ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1222 ,86 ,284 ,368 ,218 ,61 ,205
336 ,דורות ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,865 ,77 ,190 ,299 ,82 ,40 ,177
338 ,איבים ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,836 ,48 ,222 ,428 ,67 ,38 ,33
339 ,רמת צבי ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,787 ,83 ,209 ,239 ,103 ,41 ,112
340 ,גת )קיבוץ( ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,997 ,64 ,279 ,283 ,152 ,46 ,173
342 ,גברעם ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,727 ,103 ,191 ,260 ,71 ,32 ,70
343 ,חמדיה ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,471 ,40 ,96 ,151 ,57 ,27 ,100
344 ,מענית ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,899 ,84 ,215 ,302 ,99 ,55 ,144
345 ,כפר סאלד ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,759 ,71 ,153 ,288 ,91 ,47 ,109
346 ,גליל ים ,51 ,תל אביב ,57 ,הרצליה ,19 ,חוף השרון ,558 ,66 ,118 ,191 ,56 ,35 ,92
347 ,מנרה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,301 ,34 ,43 ,110 ,28 ,27 ,59
348 ,ניר עם ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,697 ,64 ,141 ,279 ,63 ,58 ,92
351 ,ניצן ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,2623 ,247 ,786 ,954 ,232 ,202 ,202
352 ,גבולות ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,498 ,41 ,103 ,161 ,45 ,47 ,101
353 ,בית זיד ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,129 ,4 ,17 ,29 ,14 ,23 ,42
354 ,רביבים ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,974 ,60 ,158 ,370 ,94 ,95 ,197
355 ,חורשים ,42 ,פתח תקווה ,349 ,ראש העין ,20 ,דרום השרון ,408 ,31 ,61 ,121 ,57 ,49 ,89
356 ,הגושרים ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1186 ,131 ,240 ,421 ,124 ,109 ,161
357 ,כפר בלום ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1069 ,68 ,237 ,313 ,163 ,55 ,233
358 ,יד מרדכי ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,1004 ,86 ,161 ,347 ,118 ,51 ,241
359 ,ניצנים ,61 ,אשקלון ,61 ,אשקלון ,36 ,חוף אשקלון ,676 ,85 ,147 ,205 ,60 ,44 ,135
360 ,גבעת ניל"י ,32 ,חדרה ,32 ,חדרה ,45 ,אלונה ,631 ,39 ,151 ,203 ,94 ,65 ,79
362 ,רוחמה ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,790 ,59 ,172 ,233 ,101 ,37 ,188
363 ,חפץ חיים ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,665 ,90 ,210 ,225 ,46 ,30 ,64
364 ,כפר אוריה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,864 ,37 ,276 ,241 ,158 ,71 ,81
365 ,בית קשת ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,816 ,51 ,249 ,214 ,133 ,61 ,108
366 ,שמיר ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,977 ,66 ,185 ,338 ,121 ,95 ,172
367 ,עין העמק ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,881 ,84 ,163 ,319 ,109 ,89 ,117
368 ,ביריה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,981 ,95 ,243 ,335 ,92 ,75 ,141
369 ,גלעד )אבן יצחק( ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,582 ,45 ,137 ,163 ,81 ,39 ,117
370 ,גזר ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,531 ,40 ,70 ,213 ,28 ,53 ,127
371 ,כדורי ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,116 ,5 ,30 ,55 ,9 ,6 ,11
372 ,רמות נפתלי ,21 ,צפת ,21 ,צפת ,55 ,מבואות החרמון ,596 ,26 ,109 ,190 ,101 ,62 ,108
373 ,בית הלוי ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,804 ,65 ,181 ,249 ,113 ,61 ,135
374 ,חוקוק ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,769 ,46 ,225 ,216 ,123 ,50 ,109
375 ,מגל ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,1361 ,78 ,382 ,386 ,275 ,83 ,157
376 ,עברון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1004 ,96 ,199 ,336 ,123 ,55 ,195
377 ,המעפיל ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,986 ,66 ,256 ,282 ,173 ,70 ,139
378 ,משגב עם ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,366 ,36 ,47 ,166 ,32 ,35 ,50
379 ,גאולים ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1024 ,71 ,222 ,334 ,149 ,93 ,155
380 ,להבות הבשן ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,1003 ,45 ,225 ,331 ,158 ,97 ,147
382 ,מכמורת ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,1554 ,101 ,357 ,443 ,233 ,133 ,287
383 ,עין הנצי"ב ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,691 ,77 ,176 ,233 ,49 ,43 ,113
385 ,עמיעד ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,659 ,63 ,109 ,208 ,72 ,57 ,150
386 ,בני דרור ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1246 ,63 ,195 ,277 ,118 ,120 ,473
387 ,כפר מונש ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,920 ,81 ,213 ,266 ,134 ,76 ,150
388 ,כפר קיש ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,747 ,54 ,195 ,231 ,119 ,57 ,91
389 ,בצרה ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1131 ,74 ,256 ,339 ,195 ,102 ,165
390 ,רגבה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1149 ,63 ,234 ,356 ,164 ,78 ,254
392 ,קדמה ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,39 ,3 ,12 ,10 ,6 ,2 ,6
393 ,גלאון ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,733 ,56 ,192 ,205 ,84 ,48 ,148
394 ,שובל ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,966 ,86 ,228 ,302 ,117 ,72 ,161
395 ,משמר הנגב ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1343 ,96 ,303 ,392 ,173 ,115 ,264
396 ,נבטים ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1114 ,82 ,236 ,412 ,134 ,110 ,140
397 ,חצרים ,62 ,באר שבע ,62 ,באר שבע ,41 ,בני שמעון ,1129 ,82 ,212 ,361 ,136 ,107 ,231
398 ,שרשרת ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,438 ,49 ,108 ,141 ,46 ,38 ,56
399 ,בארי ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,1240 ,114 ,257 ,409 ,140 ,96 ,224
400 ,אבן שמואל ,61 ,אשקלון ,61 ,אשקלון ,34 ,שפיר ,1957 ,189 ,688 ,653 ,224 ,76 ,127
402 ,ניר יצחק ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,721 ,49 ,105 ,269 ,59 ,78 ,161
403 ,אורים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,618 ,33 ,73 ,221 ,63 ,64 ,164
405 ,נווה אילן ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1081 ,63 ,266 ,315 ,166 ,76 ,195
406 ,חצור-אשדוד ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1010 ,87 ,201 ,315 ,112 ,54 ,241
407 ,דברת ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,652 ,79 ,176 ,208 ,84 ,26 ,79
408 ,נאות מרדכי ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,803 ,75 ,170 ,271 ,81 ,52 ,154
409 ,יחיעם ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,924 ,54 ,252 ,265 ,154 ,37 ,162
412 ,קרית שלמה ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,10 ,0 ,0 ,0 ,0 ,2 ,8
413 ,צאלים ,62 ,באר שבע ,62 ,באר שבע ,38 ,אשכול ,520 ,33 ,92 ,156 ,82 ,45 ,112
414 ,קלחים ,62 ,באר שבע ,62 ,באר שבע ,42 ,מרחבים ,648 ,56 ,210 ,196 ,99 ,36 ,51
415 ,שוקדה ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,721 ,118 ,299 ,226 ,25 ,20 ,33
416 ,מעין ברוך ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,716 ,56 ,145 ,255 ,83 ,51 ,126
417 ,יקום ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,835 ,70 ,181 ,268 ,129 ,41 ,146
418 ,בני ציון ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1194 ,65 ,273 ,386 ,165 ,132 ,173
419 ,סעד ,62 ,באר שבע ,62 ,באר שבע ,39 ,שדות נגב ,979 ,93 ,253 ,346 ,88 ,47 ,152
421 ,משאבי שדה ,62 ,באר שבע ,62 ,באר שבע ,48 ,רמת נגב ,616 ,59 ,99 ,188 ,58 ,71 ,141
422 ,חרב לאת ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,890 ,92 ,191 ,281 ,119 ,77 ,130
423 ,העוגן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,947 ,56 ,208 ,263 ,131 ,63 ,226
424 ,גבים ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,654 ,48 ,129 ,239 ,93 ,69 ,76
425 ,משמרת ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,990 ,62 ,239 ,297 ,192 ,100 ,100
426 ,עין כרמל ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,813 ,39 ,215 ,240 ,166 ,55 ,98
427 ,כפר גלים ,31 ,חיפה ,31 ,חיפה ,15 ,חוף הכרמל ,168 ,12 ,37 ,82 ,24 ,6 ,7
428 ,ברור חיל ,61 ,אשקלון ,61 ,אשקלון ,37 ,שער הנגב ,1143 ,70 ,238 ,367 ,168 ,101 ,199
429 ,אלוני אבא ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1040 ,35 ,267 ,318 ,214 ,96 ,110
430 ,בית לחם הגלילית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,849 ,53 ,183 ,265 ,114 ,79 ,155
431 ,דלתון ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,960 ,91 ,212 ,379 ,99 ,97 ,82
432 ,שמרת ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,698 ,61 ,169 ,218 ,78 ,42 ,130
433 ,נחשולים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,799 ,61 ,186 ,259 ,105 ,74 ,114
434 ,החותרים ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,941 ,105 ,210 ,301 ,120 ,49 ,156
435 ,נצר סרני ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,1086 ,128 ,262 ,339 ,124 ,47 ,186
436 ,עין דור ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,1397 ,93 ,320 ,401 ,182 ,122 ,279
437 ,רשפים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1244 ,127 ,405 ,420 ,123 ,64 ,105
439 ,שלוחות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,541 ,69 ,114 ,169 ,18 ,51 ,120
440 ,יסודות ,44 ,רחובות ,44 ,רחובות ,31 ,נחל שורק ,810 ,135 ,318 ,242 ,39 ,13 ,63
442 ,גדעונה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,517 ,53 ,142 ,185 ,60 ,25 ,52
443 ,כפר הנשיא ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,980 ,57 ,157 ,300 ,116 ,101 ,249
444 ,רגבים ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,700 ,61 ,170 ,185 ,93 ,46 ,145
445 ,רמות מנשה ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1422 ,77 ,395 ,419 ,264 ,95 ,172
446 ,אודים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1168 ,102 ,227 ,391 ,182 ,112 ,154
447 ,נורדיה ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2006 ,136 ,313 ,505 ,193 ,173 ,686
448 ,בני עטרות ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,884 ,69 ,210 ,280 ,136 ,76 ,113
449 ,נחלים ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,1460 ,171 ,371 ,464 ,140 ,82 ,232
450 ,בארות יצחק ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,584 ,59 ,98 ,199 ,55 ,42 ,131
452 ,יזרעאל ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,790 ,36 ,146 ,193 ,130 ,62 ,223
453 ,יפתח ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,788 ,55 ,162 ,284 ,85 ,59 ,143
454 ,סער ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1032 ,78 ,262 ,332 ,150 ,90 ,120
456 ,שורש ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1303 ,68 ,168 ,278 ,105 ,114 ,570
457 ,גזית ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,939 ,72 ,177 ,308 ,118 ,72 ,192
460 ,רמת רזיאל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,692 ,43 ,162 ,209 ,105 ,54 ,119
462 ,טל שחר ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,1230 ,96 ,315 ,395 ,175 ,99 ,150
463 ,געתון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,837 ,54 ,200 ,257 ,118 ,56 ,152
464 ,הראל ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,339 ,25 ,61 ,83 ,48 ,47 ,75
465 ,צובה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,821 ,50 ,137 ,308 ,97 ,95 ,134
466 ,בית דגן ,43 ,רמלה ,43 ,רמלה ,0 , ,7626 ,596 ,1501 ,2737 ,1012 ,790 ,990
469 ,קרית עקרון ,44 ,רחובות ,44 ,רחובות ,0 , ,11282 ,905 ,2149 ,4045 ,1241 ,1141 ,1801
472 ,אבו גוש ,11 ,ירושלים ,11 ,ירושלים ,0 , ,8585 ,812 ,2005 ,3475 ,903 ,707 ,683
473 ,אבו סנאן ,24 ,עכו ,24 ,עכו ,0 , ,14269 ,1252 ,2916 ,6099 ,1702 ,1132 ,1168
475 ,דחי ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,760 ,65 ,147 ,324 ,103 ,51 ,70
478 ,אכסאל ,23 ,עפולה ,23 ,עפולה ,0 , ,15744 ,1465 ,3888 ,6684 ,1724 ,1087 ,896
480 ,בית ג'ן ,24 ,עכו ,20 ,כרמיאל ,0 , ,12785 ,1000 ,2558 ,5624 ,1520 ,1022 ,1061
481 ,מגאר ,22 ,כנרת ,22 ,טבריה ,0 , ,24381 ,2145 ,5148 ,10895 ,2732 ,1805 ,1656
482 ,בועיינה-נוג'ידאת ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,10765 ,1013 ,2640 ,4809 ,1113 ,667 ,523
483 ,בענה ,24 ,עכו ,24 ,עכו ,0 , ,8767 ,695 ,2047 ,3816 ,1035 ,632 ,542
485 ,ג'ולס ,24 ,עכו ,24 ,עכו ,0 , ,6804 ,537 ,1279 ,2964 ,863 ,608 ,553
487 ,ג'ש )גוש חלב( ,21 ,צפת ,21 ,צפת ,0 , ,3375 ,213 ,591 ,1325 ,438 ,363 ,445
489 ,דבוריה ,23 ,עפולה ,23 ,עפולה ,0 , ,11006 ,964 ,2502 ,4543 ,1273 ,932 ,792
490 ,דייר אל-אסד ,24 ,עכו ,24 ,עכו ,0 , ,13335 ,1182 ,3232 ,5723 ,1461 ,913 ,824
492 ,דייר חנא ,24 ,עכו ,24 ,עכו ,0 , ,11146 ,856 ,2438 ,4819 ,1282 ,918 ,833
493 ,דייר ראפאת ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,95 ,6 ,31 ,37 ,12 ,2 ,7
494 ,דאלית אל-כרמל ,31 ,חיפה ,31 ,חיפה ,0 , ,18316 ,1377 ,3631 ,7361 ,2479 ,1723 ,1745
496 ,חורפיש ,24 ,עכו ,24 ,עכו ,0 , ,6921 ,592 ,1448 ,3033 ,825 ,524 ,499
497 ,טייבה )בעמק( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2024 ,229 ,492 ,883 ,199 ,116 ,105
498 ,טורעאן ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,15280 ,1380 ,3757 ,6390 ,1657 ,1088 ,1008
499 ,יפיע ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,20139 ,1651 ,4578 ,8444 ,2336 ,1621 ,1509
502 ,ירכא ,24 ,עכו ,24 ,עכו ,0 , ,16684 ,1411 ,3826 ,7307 ,1826 ,1252 ,1062
504 ,כאבול ,24 ,עכו ,24 ,עכו ,0 , ,13000 ,1146 ,3127 ,5520 ,1519 ,966 ,722
505 ,כאוכב אבו אל-היג'א ,24 ,עכו ,24 ,עכו ,0 , ,4114 ,343 ,973 ,1667 ,526 ,300 ,305
507 ,כפר יאסיף ,24 ,עכו ,24 ,עכו ,0 , ,11333 ,855 ,2188 ,4710 ,1361 ,1038 ,1181
508 ,כפר כמא ,22 ,כנרת ,22 ,טבריה ,0 , ,3625 ,278 ,649 ,1466 ,405 ,311 ,516
509 ,כפר כנא ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,24427 ,2449 ,5996 ,10286 ,2550 ,1624 ,1522
510 ,כפר מנדא ,24 ,עכו ,25 ,נוף הגליל ,0 , ,21832 ,2377 ,5576 ,9668 ,2000 ,1248 ,963
511 ,עילוט ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,8993 ,966 ,2276 ,3834 ,959 ,546 ,412
512 ,כפר מצר ,25 ,נצרת ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,2880 ,265 ,667 ,1254 ,327 ,203 ,164
514 ,עין ראפה ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,1334 ,123 ,352 ,555 ,136 ,82 ,86
516 ,מג'ד אל-כרום ,24 ,עכו ,24 ,עכו ,0 , ,16138 ,1241 ,3832 ,6951 ,1904 ,1171 ,1039
517 ,מזרעה ,24 ,עכו ,24 ,עכו ,0 , ,4245 ,418 ,773 ,1832 ,428 ,426 ,368
518 ,מעיליא ,24 ,עכו ,24 ,עכו ,0 , ,3417 ,214 ,572 ,1300 ,512 ,319 ,500
520 ,משהד ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,9222 ,921 ,2331 ,4007 ,861 ,569 ,533
521 ,עין נקובא ,11 ,ירושלים ,11 ,ירושלים ,26 ,מטה יהודה ,3961 ,482 ,1114 ,1681 ,352 ,196 ,136
522 ,נחף ,24 ,עכו ,20 ,כרמיאל ,0 , ,14220 ,1391 ,3594 ,6189 ,1496 ,845 ,705
523 ,ניין ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,2097 ,198 ,439 ,896 ,241 ,164 ,159
524 ,נאעורה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,2545 ,249 ,692 ,1056 ,260 ,154 ,134
525 ,סאג'ור ,24 ,עכו ,20 ,כרמיאל ,0 , ,4570 ,400 ,928 ,2134 ,541 ,289 ,278
526 ,סולם ,23 ,עפולה ,23 ,עפולה ,66 ,בוסתאן אל-מרג' ,3124 ,276 ,705 ,1346 ,337 ,227 ,233
527 ,שזור ,24 ,עכו ,21 ,צפת ,2 ,מרום הגליל ,332 ,23 ,36 ,118 ,38 ,42 ,75
528 ,עוזייר ,25 ,נצרת ,25 ,נוף הגליל ,65 ,אל-בטוף ,3537 ,411 ,887 ,1535 ,358 ,184 ,162
529 ,אעבלין ,24 ,עכו ,24 ,עכו ,0 , ,13932 ,1111 ,3137 ,5789 ,1684 ,1139 ,1072
530 ,עיילבון ,22 ,כנרת ,22 ,טבריה ,0 , ,5958 ,432 ,1200 ,2461 ,679 ,523 ,663
531 ,עראבה ,24 ,עכו ,24 ,עכו ,0 , ,28037 ,2636 ,7064 ,11922 ,3024 ,1806 ,1585
532 ,עין מאהל ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,14297 ,1352 ,3216 ,6139 ,1643 ,1077 ,870
534 ,עספיא ,31 ,חיפה ,31 ,חיפה ,0 , ,13127 ,934 ,2542 ,5288 ,1758 ,1189 ,1416
535 ,פסוטה ,24 ,עכו ,24 ,עכו ,0 , ,3583 ,236 ,634 ,1446 ,474 ,349 ,444
536 ,פקיעין )בוקייעה( ,24 ,עכו ,24 ,עכו ,0 , ,6284 ,410 ,1205 ,2711 ,744 ,585 ,629
537 ,פוריידיס ,32 ,חדרה ,32 ,חדרה ,0 , ,13948 ,1241 ,3462 ,5804 ,1578 ,1018 ,845
538 ,שעב ,24 ,עכו ,24 ,עכו ,0 , ,7783 ,764 ,1744 ,3361 ,905 ,606 ,403
539 ,רומאנה ,25 ,נצרת ,25 ,נוף הגליל ,65 ,אל-בטוף ,1296 ,129 ,334 ,599 ,115 ,76 ,43
540 ,ריחאניה ,21 ,צפת ,21 ,צפת ,2 ,מרום הגליל ,1319 ,103 ,255 ,539 ,156 ,116 ,150
541 ,ג'סר א-זרקא ,32 ,חדרה ,32 ,חדרה ,0 , ,15767 ,1742 ,4390 ,6697 ,1515 ,831 ,592
542 ,ריינה ,25 ,נצרת ,25 ,נוף הגליל ,0 , ,17375 ,1472 ,3868 ,7342 ,1971 ,1449 ,1273
543 ,ראמה ,24 ,עכו ,20 ,כרמיאל ,0 , ,8780 ,588 ,1617 ,3571 ,1044 ,819 ,1141
546 ,עין אל-אסד ,24 ,עכו ,21 ,צפת ,2 ,מרום הגליל ,964 ,70 ,203 ,404 ,129 ,78 ,80
547 ,טמרה )יזרעאל( ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1705 ,155 ,437 ,709 ,197 ,101 ,106
549 ,גנות הדר ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,1005 ,41 ,219 ,334 ,169 ,111 ,131
553 ,ניר בנים ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,789 ,46 ,169 ,266 ,97 ,100 ,111
555 ,שדמה ,44 ,רחובות ,44 ,רחובות ,32 ,גדרות ,508 ,24 ,98 ,167 ,78 ,58 ,83
559 ,בוסתן הגליל ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1111 ,92 ,282 ,380 ,148 ,75 ,134
