סמל_ישוב,שם_ישוב,סמל_נפה,נפה,קוד_לשכת_מנא,לשכת_מנא,קוד_מועצה_אזורית,מועצה_אזורית,סהכ,גיל_0_5,גיל_6_18,גיל_19_45,גיל_46_55,גיל_56_64,גיל_65_פלוס
218 ,גני עם ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,262 ,13 ,30 ,69 ,33 ,40 ,77
219 ,חיבת ציון ,41 ,השרון ,32 ,חדרה ,16 ,עמק חפר ,860 ,80 ,230 ,281 ,110 ,53 ,106
220 ,כפר ביאליק ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,654 ,45 ,140 ,199 ,87 ,44 ,139
223 ,עין עירון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,581 ,44 ,120 ,200 ,81 ,58 ,78
224 ,שושנת העמקים ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,598 ,49 ,101 ,202 ,78 ,58 ,110
225 ,גן השומרון ,32 ,חדרה ,32 ,חדרה ,14 ,מנשה ,888 ,60 ,183 ,275 ,131 ,88 ,151
229 ,גני תקווה ,42 ,פתח תקווה ,42 ,פתח תקוה ,0 , ,25160 ,2157 ,5866 ,7755 ,3345 ,1820 ,4217
230 ,מעש ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,928 ,67 ,202 ,254 ,131 ,78 ,196
232 ,שפיים ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1528 ,123 ,318 ,485 ,223 ,114 ,265
233 ,כפר ידידיה ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,748 ,40 ,190 ,205 ,142 ,45 ,126
234 ,ביצרון ,61 ,אשקלון ,61 ,אשקלון ,33 ,באר טוביה ,1225 ,69 ,288 ,384 ,182 ,108 ,194
235 ,חבצלת השרון ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,456 ,15 ,87 ,106 ,84 ,46 ,118
237 ,שער העמקים ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,804 ,65 ,164 ,216 ,108 ,63 ,188
239 ,גן חיים ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,727 ,42 ,146 ,228 ,105 ,77 ,129
240 ,יקנעם עילית ,23 ,עפולה ,23 ,עפולה ,0 , ,26774 ,1792 ,5483 ,9446 ,4011 ,2378 ,3664
241 ,יקנעם )מושבה( ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1463 ,111 ,314 ,448 ,201 ,97 ,292
242 ,בית השיטה ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1553 ,88 ,359 ,419 ,248 ,125 ,314
246 ,נתיבות ,62 ,באר שבע ,62 ,באר שבע ,0 , ,49879 ,7399 ,13054 ,19273 ,3882 ,2775 ,3496
247 ,רשפון ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1384 ,115 ,324 ,412 ,221 ,116 ,196
248 ,בית שערים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,780 ,59 ,205 ,224 ,119 ,48 ,125
249 ,כפר סירקין ,42 ,פתח תקווה ,42 ,פתח תקוה ,20 ,דרום השרון ,1496 ,90 ,395 ,411 ,266 ,128 ,206
250 ,הזורע ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1293 ,75 ,192 ,397 ,158 ,105 ,366
252 ,ביתן אהרן ,41 ,השרון ,41 ,נתניה ,16 ,עמק חפר ,319 ,14 ,40 ,68 ,25 ,18 ,154
253 ,חולתה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,761 ,76 ,198 ,253 ,80 ,46 ,108
254 ,כפר המכבי ,31 ,חיפה ,31 ,חיפה ,12 ,זבולון ,469 ,39 ,97 ,148 ,48 ,40 ,97
255 ,כפר חיטים ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,715 ,30 ,148 ,247 ,116 ,81 ,93
256 ,ניר דוד )תל עמל( ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,930 ,59 ,210 ,275 ,131 ,67 ,188
257 ,נופך ,42 ,פתח תקווה ,42 ,פתח תקוה ,25 ,חבל מודיעין ,612 ,65 ,135 ,218 ,67 ,57 ,70
259 ,שדה נחום ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1153 ,98 ,312 ,379 ,194 ,73 ,97
262 ,גינוסר ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,789 ,45 ,149 ,227 ,105 ,54 ,209
263 ,מסדה ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,386 ,30 ,61 ,144 ,38 ,40 ,73
264 ,שער הגולן ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,616 ,20 ,99 ,175 ,86 ,54 ,182
265 ,בית יוסף ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,499 ,43 ,83 ,190 ,53 ,59 ,71
267 ,כפר שמריהו ,51 ,תל אביב ,57 ,הרצליה ,0 , ,2572 ,110 ,450 ,704 ,345 ,288 ,675
268 ,טירת צבי ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,1022 ,101 ,339 ,333 ,90 ,33 ,126
269 ,מולדת ,23 ,עפולה ,23 ,עפולה ,8 ,הגלבוע ,1244 ,58 ,299 ,428 ,210 ,96 ,153
270 ,עין השופט ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,1254 ,49 ,209 ,412 ,163 ,90 ,331
272 ,מעוז חיים ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,643 ,36 ,98 ,260 ,67 ,50 ,132
273 ,עין גב ,22 ,כנרת ,22 ,טבריה ,6 ,עמק הירדן ,654 ,46 ,113 ,225 ,65 ,64 ,141
274 ,כפר מנחם ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,1456 ,63 ,434 ,363 ,325 ,99 ,172
276 ,צור משה ,41 ,השרון ,41 ,נתניה ,18 ,לב השרון ,2840 ,143 ,739 ,869 ,589 ,243 ,257
278 ,אושה ,31 ,חיפה ,27 ,קריות ,12 ,זבולון ,614 ,58 ,133 ,190 ,77 ,55 ,101
280 ,חניתה ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,995 ,51 ,204 ,286 ,158 ,88 ,208
281 ,פקיעין חדשה ,24 ,עכו ,24 ,עכו ,52 ,מעלה יוסף ,541 ,65 ,117 ,202 ,58 ,54 ,45
282 ,שבי ציון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1446 ,98 ,364 ,437 ,248 ,86 ,213
284 ,שדה ורבורג ,42 ,פתח תקווה ,47 ,כפר סבא ,20 ,דרום השרון ,1391 ,67 ,316 ,416 ,259 ,123 ,210
285 ,אלונים ,23 ,עפולה ,23 ,עפולה ,9 ,עמק יזרעאל ,784 ,77 ,146 ,252 ,68 ,57 ,184
286 ,מעלה החמישה ,11 ,ירושלים ,13 ,בית שמש ,26 ,מטה יהודה ,964 ,88 ,270 ,267 ,143 ,57 ,139
287 ,תל יצחק ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,880 ,50 ,119 ,141 ,78 ,40 ,452
288 ,בית יהושע ,41 ,השרון ,41 ,נתניה ,19 ,חוף השרון ,1150 ,78 ,273 ,377 ,194 ,77 ,151
289 ,עין המפרץ ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,989 ,61 ,177 ,287 ,144 ,76 ,244
290 ,מעין צבי ,32 ,חדרה ,32 ,חדרה ,15 ,חוף הכרמל ,962 ,61 ,175 ,257 ,129 ,90 ,250
292 ,שרונה ,22 ,כנרת ,22 ,טבריה ,3 ,הגליל התחתון ,669 ,32 ,195 ,198 ,96 ,38 ,110
293 ,שדה יואב ,61 ,אשקלון ,61 ,אשקלון ,35 ,יואב ,677 ,65 ,193 ,217 ,83 ,49 ,70
294 ,אילון ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,1294 ,81 ,322 ,397 ,210 ,94 ,190
295 ,כפר רופין ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,621 ,48 ,144 ,201 ,82 ,29 ,117
296 ,נווה איתן ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,260 ,21 ,32 ,90 ,30 ,17 ,70
297 ,כפר מסריק ,24 ,עכו ,24 ,עכו ,4 ,מטה אשר ,855 ,57 ,163 ,292 ,116 ,60 ,167
298 ,מסילות ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,602 ,45 ,87 ,179 ,53 ,53 ,185
300 ,דליה ,23 ,עפולה ,23 ,עפולה ,13 ,מגידו ,985 ,77 ,199 ,297 ,127 ,66 ,219
301 ,בית עוזיאל ,43 ,רמלה ,43 ,רמלה ,30 ,גזר ,696 ,45 ,165 ,220 ,103 ,76 ,87
302 ,דפנה ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,956 ,80 ,207 ,306 ,125 ,49 ,189
303 ,דן ,21 ,צפת ,21 ,צפת ,1 ,הגליל העליון ,807 ,77 ,172 ,286 ,77 ,41 ,154
304 ,שדה אליהו ,23 ,עפולה ,23 ,עפולה ,7 ,עמק המעיינות ,923 ,86 ,177 ,371 ,65 ,68 ,156
305 ,גשר ,22 ,כנרת ,22 ,טבריה ,7 ,עמק המעיינות ,543 ,53 ,73 ,175 ,51 ,51 ,140
